ID,Region,District,Education,Yield,Age,Gender,Income,Water_Source,Crop,Year,Farm_Size_acres,Fertilizer_Use,Household_Size,Refugee_Status,Protection_Needs,Disease,Health_Facility,ANC_Visits,Latrine_Type,Water_Distance_min,Handwashing,Main_Income,Food_Months,Savings_UGX,Coping_Strategy,GBV_Case_Type,Survivor_Gender,Support_Received,Referred,Item_Code,Item_Name,Stock,Location,KPI,Baseline,Target,Achieved,Research_Title,Methodology,P_Value,Findings
1,Northern,Gulu,Primary,3.686387412215288,46,Male,1187797,Tap,Coffee,2023,5.447297347425021,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Western,Mbarara,Secondary,3.9636471660756407,45,Female,1720373,Well,Coffee,2024,6.356747405503293,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Central,Gulu,Primary,1.3145799953196888,28,Female,450144,Well,Maize,2023,1.9880651512511789,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Northern,Gulu,University,6.401107507746449,18,Female,264925,River,Cassava,2023,0.9154884458597101,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Northern,Gulu,None,1.9704252171166425,60,Female,569360,Borehole,Maize,2023,1.5526756407081668,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Western,Kampala,Primary,3.176770270716955,36,Male,794557,Well,Beans,2022,6.186049969001473,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Central,Kampala,Primary,3.018639647613567,26,Male,1148458,River,Maize,2023,1.4026111404268944,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Central,Kampala,Secondary,3.575293276837897,44,Male,1190121,Borehole,Maize,2024,4.071932454442458,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Northern,Mbarara,University,7.551902618032698,51,Male,1552178,Tap,Coffee,2022,5.725873434352482,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Eastern,Lira,None,2.176899078037066,61,Male,1599757,Borehole,Maize,2024,4.192201586983547,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Northern,Gulu,University,6.104578370110024,21,Female,1925049,Well,Cassava,2024,2.054996113920364,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Northern,Gulu,None,1.1584299024574753,53,Female,1348553,Well,Coffee,2022,3.101017421384012,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Northern,Mbarara,University,8.820401963682112,35,Male,1754414,Well,Maize,2024,9.319016562061481,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Northern,Gulu,None,0.4601257235366124,32,Male,1767739,Well,Beans,2024,6.921831618070376,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Western,Kampala,None,0.2,30,Male,683442,Well,Maize,2022,5.212454467458922,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Central,Lira,Secondary,5.582904434464799,36,Female,1030371,River,Maize,2024,0.6207914548754885,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Western,Arua,University,7.93660477170456,23,Male,1277921,Well,Maize,2023,9.927946304649966,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Western,Gulu,University,6.343032676422575,29,Male,979976,River,Coffee,2024,6.8788218814991104,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Western,Kampala,Secondary,4.087008218131913,54,Male,1620827,Tap,Cassava,2023,3.510763534776977,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Northern,Arua,University,5.575064949811048,34,Female,1209869,Well,Beans,2024,8.853052269979463,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Eastern,Lira,None,1.288952272609702,40,Male,693814,Well,Maize,2022,2.955100392772272,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Central,Arua,University,7.9659137153714,43,Female,531310,Borehole,Cassava,2022,5.66815750223614,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
