ID,Region,District,Education,Yield,Age,Gender,Income,Water_Source,Crop,Year,Main_Income,Food_Months,Savings_UGX,Coping_Strategy
1,Northern,Gulu,Primary,3.686387412215288,32,Male,1503375,Borehole,Beans,2023,Farming,3,471628,Reduce Meals
2,Western,Mbarara,Secondary,3.9636471660756407,21,Male,1634467,Borehole,Cassava,2024,Farming,3,280199,Borrow
3,Central,Gulu,Primary,1.3145799953196888,62,Female,1421381,River,Maize,2024,Business,11,492436,Reduce Meals
4,Northern,Gulu,University,6.401107507746449,55,Female,1787282,Tap,Cassava,2024,Casual,8,218580,Borrow
5,Northern,Gulu,None,1.9704252171166425,37,Female,454494,Borehole,Coffee,2022,Business,7,418709,Reduce Meals
6,Western,Kampala,Primary,3.176770270716955,40,Male,1547905,Well,Coffee,2022,Casual,8,74861,None
7,Central,Kampala,Primary,3.018639647613567,54,Female,241745,Borehole,Coffee,2022,Farming,8,383328,None
8,Central,Kampala,Secondary,3.575293276837897,64,Male,948777,River,Coffee,2024,Casual,3,378668,None
9,Northern,Mbarara,University,7.551902618032698,25,Female,909147,River,Cassava,2022,Farming,7,378970,Borrow
10,Eastern,Lira,None,2.176899078037066,54,Male,1066555,Borehole,Coffee,2023,Business,11,298919,Reduce Meals
11,Northern,Gulu,University,6.104578370110024,62,Female,907395,Borehole,Maize,2024,Business,6,444273,Borrow
12,Northern,Gulu,None,1.1584299024574753,50,Male,549948,Well,Cassava,2022,Casual,5,348053,Borrow
13,Northern,Mbarara,University,8.820401963682112,50,Male,1183488,Well,Coffee,2024,Farming,3,298397,Reduce Meals
14,Northern,Gulu,None,0.4601257235366124,24,Male,1169966,Tap,Cassava,2024,Farming,4,217789,Borrow
15,Western,Kampala,None,0.2,39,Female,1679145,Tap,Cassava,2022,Casual,5,256072,Reduce Meals
16,Central,Lira,Secondary,5.582904434464799,22,Male,573199,Well,Cassava,2024,Farming,6,51884,Reduce Meals
17,Western,Arua,University,7.93660477170456,63,Male,1191148,Tap,Beans,2022,Farming,9,76497,None
18,Western,Gulu,University,6.343032676422575,32,Female,319097,Tap,Coffee,2022,Farming,8,279849,None
19,Western,Kampala,Secondary,4.087008218131913,38,Male,1296878,Borehole,Beans,2022,Business,10,175748,None
20,Northern,Arua,University,5.575064949811048,42,Male,1895425,Well,Maize,2024,Business,11,232730,Reduce Meals
21,Eastern,Lira,None,1.288952272609702,34,Female,1980915,Borehole,Maize,2024,Business,8,353784,None
22,Central,Arua,University,7.9659137153714,24,Male,1664227,Borehole,Beans,2022,Farming,9,210117,Reduce Meals
23,Eastern,Kampala,Secondary,3.657395158241722,36,Female,782016,Tap,Coffee,2024,Business,6,7101,Borrow
