ID,Region,District,Education,Yield,Age,Gender,Income,Water_Source,Crop,Year,Item_Code,Item_Name,Stock,Location
1,Northern,Gulu,Primary,3.686387412215288,33,Male,1096429,Tap,Cassava,2022,ITEM-0,Hoe,44,Store B
2,Western,Mbarara,Secondary,3.9636471660756407,52,Female,1770442,Borehole,Beans,2022,ITEM-1,DAP,627,Store B
3,Central,Gulu,Primary,1.3145799953196888,26,Male,689660,Well,Maize,2022,ITEM-2,Maize Seed,997,Store B
4,Northern,Gulu,University,6.401107507746449,56,Female,1481930,Tap,Cassava,2022,ITEM-3,Maize Seed,849,Store B
5,Northern,Gulu,None,1.9704252171166425,54,Male,1526331,Tap,Beans,2024,ITEM-4,DAP,425,Store B
6,Western,Kampala,Primary,3.176770270716955,27,Male,1515210,Borehole,Coffee,2022,ITEM-5,Hoe,717,Store A
7,Central,Kampala,Primary,3.018639647613567,29,Female,1769429,Borehole,Beans,2024,ITEM-6,Hoe,630,Store A
8,Central,Kampala,Secondary,3.575293276837897,25,Female,1560724,Borehole,Coffee,2022,ITEM-7,DAP,646,Store A
9,Northern,Mbarara,University,7.551902618032698,20,Male,653850,Borehole,Maize,2022,ITEM-8,Maize Seed,336,Store A
10,Eastern,Lira,None,2.176899078037066,36,Female,296849,Well,Coffee,2023,ITEM-9,Hoe,304,Store B
11,Northern,Gulu,University,6.104578370110024,28,Male,1377789,Well,Beans,2023,ITEM-10,DAP,441,Store B
12,Northern,Gulu,None,1.1584299024574753,25,Male,1910313,Well,Cassava,2023,ITEM-11,Hoe,356,Store A
13,Northern,Mbarara,University,8.820401963682112,43,Female,472047,River,Beans,2023,ITEM-12,Maize Seed,46,Store B
14,Northern,Gulu,None,0.4601257235366124,62,Male,1394215,Borehole,Cassava,2023,ITEM-13,Hoe,709,Store A
15,Western,Kampala,None,0.2,40,Female,1468069,Borehole,Beans,2023,ITEM-14,DAP,521,Store B
16,Central,Lira,Secondary,5.582904434464799,27,Male,1013038,Well,Beans,2022,ITEM-15,Hoe,858,Store B
17,Western,Arua,University,7.93660477170456,35,Male,847404,Tap,Maize,2022,ITEM-16,Hoe,979,Store A
18,Western,Gulu,University,6.343032676422575,29,Male,676192,Tap,Coffee,2023,ITEM-17,Maize Seed,909,Store A
19,Western,Kampala,Secondary,4.087008218131913,56,Female,857620,Borehole,Beans,2023,ITEM-18,Maize Seed,544,Store A
20,Northern,Arua,University,5.575064949811048,43,Male,1409915,Borehole,Cassava,2023,ITEM-19,Maize Seed,919,Store B
21,Eastern,Lira,None,1.288952272609702,28,Male,913729,Well,Coffee,2022,ITEM-20,Maize Seed,782,Store B
22,Central,Arua,University,7.9659137153714,27,Female,1691852,Borehole,Maize,2023,ITEM-21,DAP,715,Store B
23,Eastern,Kampala,Secondary,3.657395158241722,20,Male,216833,Tap,Coffee,2023,ITEM-22,Hoe,887,Store A
24,Western,Arua,Secondary,5.077101978786293,24,Female,315256,Tap,Beans,2022,ITEM-23,Hoe,673,Store A
25,Western,Mbarara,University,7.263723857390432,21,Female,1252074,Borehole,Cassava,2022,ITEM-24,Hoe,27,Store A
26,Eastern,Arua,Secondary,4.77781689088114,57,Female,1636460,Well,Cassava,2024,ITEM-25,Hoe,36,Store B
27,Eastern,Gulu,Secondary,3.715690819413632,25,Male,396382,Well,Coffee,2023,ITEM-26,DAP,545,Store B
28,Eastern,Gulu,Secondary,3.8453758170665058,55,Female,1164233,Tap,Cassava,2022,ITEM-27,Maize Seed,38,Store A
29,Western,Mbarara,University,4.953227565528598,30,Male,210518,Well,Beans,2024,ITEM-28,Hoe,660,Store A
30,Western,Kampala,Primary,1.9333305874898943,29,Female,933397,Tap,Cassava,2022,ITEM-29,Hoe,667,Store A
31,Central,Gulu,University,7.963485458031259,52,Male,1270830,Borehole,Cassava,2024,ITEM-30,Maize Seed,644,Store B
32,Central,Lira,Secondary,3.2706678058977268,55,Female,430684,Tap,Cassava,2024,ITEM-31,Maize Seed,649,Store B
33,Western,Gulu,Primary,1.7196983461430952,60,Female,805726,Borehole,Beans,2023,ITEM-32,Hoe,889,Store A
34,Eastern,Gulu,Secondary,4.840189823707124,53,Female,954381,Well,Maize,2023,ITEM-33,Maize Seed,126,Store A
35,Eastern,Kampala,Secondary,4.602768291993094,64,Male,618761,River,Cassava,2024,ITEM-34,Hoe,141,Store A
36,Central,Arua,Secondary,4.889863249796301,19,Female,596561,River,Maize,2023,ITEM-35,Hoe,298,Store B
