ID,Region,District,Education,Yield,Age,Gender,Income,Water_Source,Crop,Year,KPI,Baseline,Target,Achieved
1,Northern,Gulu,Primary,3.686387412215288,28,Male,623217,Well,Maize,2024,Yield Increased,62,520,414
2,Western,Mbarara,Secondary,3.9636471660756407,56,Female,1739899,Tap,Beans,2024,Kits Distributed,27,520,359
3,Central,Gulu,Primary,1.3145799953196888,43,Male,476364,River,Beans,2024,Farmers Trained,19,520,362
4,Northern,Gulu,University,6.401107507746449,18,Female,1051554,Tap,Cassava,2022,Farmers Trained,96,520,478
5,Northern,Gulu,None,1.9704252171166425,33,Male,1330333,Well,Maize,2022,Kits Distributed,62,520,519
6,Western,Kampala,Primary,3.176770270716955,64,Male,305385,Borehole,Beans,2022,Farmers Trained,32,520,511
7,Central,Kampala,Primary,3.018639647613567,26,Female,1578627,Tap,Maize,2022,Farmers Trained,35,520,400
8,Central,Kampala,Secondary,3.575293276837897,22,Male,1155288,Well,Cassava,2022,Yield Increased,12,520,466
9,Northern,Mbarara,University,7.551902618032698,25,Female,1943006,Borehole,Coffee,2022,Kits Distributed,61,520,399
10,Eastern,Lira,None,2.176899078037066,38,Male,239150,Borehole,Beans,2023,Farmers Trained,67,520,438
11,Northern,Gulu,University,6.104578370110024,50,Female,1763019,Borehole,Beans,2024,Farmers Trained,22,520,418
12,Northern,Gulu,None,1.1584299024574753,56,Female,1490559,River,Coffee,2023,Kits Distributed,71,520,356
13,Northern,Mbarara,University,8.820401963682112,60,Female,1571982,Borehole,Beans,2022,Kits Distributed,12,520,430
14,Northern,Gulu,None,0.4601257235366124,37,Female,309756,Well,Cassava,2024,Yield Increased,87,520,336
15,Western,Kampala,None,0.2,62,Female,681588,Tap,Beans,2024,Yield Increased,39,520,511
16,Central,Lira,Secondary,5.582904434464799,39,Female,751449,Tap,Beans,2024,Yield Increased,29,520,410
17,Western,Arua,University,7.93660477170456,30,Female,352252,Well,Coffee,2023,Farmers Trained,93,520,452
18,Western,Gulu,University,6.343032676422575,56,Female,1461049,River,Cassava,2024,Kits Distributed,24,520,448
19,Western,Kampala,Secondary,4.087008218131913,28,Male,1529545,River,Maize,2022,Yield Increased,96,520,507
20,Northern,Arua,University,5.575064949811048,35,Male,1341387,Borehole,Maize,2022,Kits Distributed,72,520,411
21,Eastern,Lira,None,1.288952272609702,47,Male,1642809,Well,Coffee,2023,Farmers Trained,25,520,469
22,Central,Arua,University,7.9659137153714,50,Male,351957,Borehole,Cassava,2023,Farmers Trained,23,520,300
23,Eastern,Kampala,Secondary,3.657395158241722,61,Female,301351,Borehole,Coffee,2022,Kits Distributed,96,520,322
24,Western,Arua,Secondary,5.077101978786293,20,Female,246260,Well,Coffee,2023,Kits Distributed,38,520,406
25,Western,Mbarara,University,7.263723857390432,18,Male,603476,River,Maize,2024,Yield Increased,88,520,412
26,Eastern,Arua,Secondary,4.77781689088114,53,Male,648162,River,Cassava,2023,Kits Distributed,78,520,451
27,Eastern,Gulu,Secondary,3.715690819413632,23,Female,902022,Tap,Cassava,2024,Yield Increased,60,520,474
28,Eastern,Gulu,Secondary,3.8453758170665058,54,Male,1194897,Well,Coffee,2024,Kits Distributed,48,520,388
29,Western,Mbarara,University,4.953227565528598,46,Female,386171,Borehole,Maize,2024,Kits Distributed,40,520,434
30,Western,Kampala,Primary,1.9333305874898943,28,Male,1441954,Well,Cassava,2024,Kits Distributed,69,520,337
31,Central,Gulu,University,7.963485458031259,30,Female,622446,Borehole,Coffee,2024,Farmers Trained,19,520,346
32,Central,Lira,Secondary,3.2706678058977268,28,Female,1011201,Tap,Beans,2022,Farmers Trained,43,520,402
33,Western,Gulu,Primary,1.7196983461430952,55,Male,567839,Tap,Maize,2022,Farmers Trained,15,520,462
34,Eastern,Gulu,Secondary,4.840189823707124,42,Male,890574,Tap,Cassava,2022,Yield Increased,20,520,505
35,Eastern,Kampala,Secondary,4.602768291993094,32,Female,232492,Tap,Cassava,2024,Yield Increased,14,520,361
36,Central,Arua,Secondary,4.889863249796301,30,Male,1468691,Borehole,Cassava,2023,Farmers Trained,38,520,372
37,Western,Gulu,Secondary,3.0367794599095963,59,Male,1835337,River,Maize,2023,Farmers Trained,41,520,302
38,Central,Mbarara,None,3.764057949300346,50,Female,578231,Borehole,Coffee,2024,Kits Distributed,60,520,401
39,Central,Arua,Secondary,2.98424662583275,30,Male,309015,Tap,Beans,2023,Kits Distributed,3,520,447
40,Northern,Lira,University,6.954247313734068,55,Male,812503,River,Cassava,2024,Yield Increased,23,520,404
41,Northern,Kampala,Primary,2.3413445041314134,41,Female,441495,Well,Maize,2023,Yield Increased,2,520,343
42,Northern,Lira,Secondary,3.0133584826349527,37,Female,1252263,Borehole,Cassava,2024,Kits Distributed,0,520,459
43,Eastern,Arua,Primary,2.1297905771867502,61,Female,1953071,Well,Coffee,2023,Yield Increased,93,520,399
44,Western,Arua,Secondary,4.22330760088587,34,Male,657851,Tap,Beans,2023,Farmers Trained,12,520,325
45,Western,Arua,Secondary,3.55002678813653,41,Female,1846264,Well,Cassava,2022,Kits Distributed,53,520,347
46,Western,Lira,Secondary,5.137223621534849,43,Male,1058095,River,Maize,2023,Kits Distributed,81,520,304
47,Western,Arua,Primary,2.338374254537529,57,Male,582375,River,Coffee,2023,Yield Increased,39,520,358
48,Northern,Lira,Secondary,2.8587253289817136,49,Male,607050,River,Beans,2024,Kits Distributed,10,520,360
49,Eastern,Arua,None,0.2,46,Male,602137,Borehole,Maize,2023,Kits Distributed,41,520,348
50,Eastern,Mbarara,Primary,3.106165090611456,31,Female,883933,Well,Cassava,2023,Farmers Trained,92,520,457
51,Northern,Arua,None,0.2,54,Male,1024308,Well,Maize,2023,Kits Distributed,3,520,444
52,Eastern,Lira,Primary,2.8164260730490835,39,Male,990698,Well,Beans,2023,Kits Distributed,24,520,369
53,Northern,Gulu,Secondary,4.644655185666959,51,Male,1286289,Tap,Coffee,2023,Kits Distributed,99,520,485
54,Western,Arua,Secondary,3.204644636075983,44,Female,1126489,Borehole,Coffee,2022,Kits Distributed,35,520,490
55,Northern,Gulu,Secondary,5.090738083774891,45,Female,1270644,Borehole,Cassava,2023,Farmers Trained,63,520,488
56,Western,Mbarara,Primary,0.7822063762383678,39,Female,1863100,Well,Cassava,2024,Kits Distributed,43,520,490
57,Western,Kampala,University,7.096458933998559,60,Male,863726,Borehole,Cassava,2024,Farmers Trained,39,520,314
58,Central,Mbarara,Secondary,4.159142066403992,20,Male,694071,Well,Cassava,2023,Farmers Trained,91,520,300
59,Northern,Arua,Secondary,4.0810020242691065,39,Female,269384,Well,Beans,2023,Farmers Trained,44,520,440
60,Central,Gulu,University,5.622103357019427,38,Female,1803336,Well,Cassava,2023,Yield Increased,7,520,475
61,Northern,Gulu,University,5.862977995600074,33,Male,858816,River,Maize,2022,Yield Increased,84,520,427
62,Northern,Lira,Primary,4.118802025020598,26,Female,415750,Tap,Beans,2024,Kits Distributed,34,520,461
63,Central,Gulu,Primary,3.7151550088717538,30,Male,343103,Borehole,Beans,2022,Farmers Trained,43,520,424
64,Central,Lira,University,7.542084588523799,27,Female,285675,Tap,Cassava,2022,Yield Increased,17,520,457
65,Northern,Kampala,Secondary,5.139848103529688,38,Male,875386,River,Beans,2023,Kits Distributed,46,520,318
66,Eastern,Arua,None,2.046013544671269,59,Male,1813751,Borehole,Maize,2023,Yield Increased,24,520,418
67,Western,Lira,Secondary,3.8766437877137916,57,Male,359849,Well,Beans,2024,Farmers Trained,40,520,363
68,Central,Kampala,University,6.847603551814351,24,Female,332732,Tap,Beans,2023,Kits Distributed,4,520,365
69,Western,Gulu,Secondary,2.7274916219589915,63,Female,1537871,River,Maize,2024,Farmers Trained,63,520,356
70,Eastern,Gulu,Secondary,4.110304373192474,39,Male,486757,Borehole,Maize,2022,Farmers Trained,61,520,343
71,Eastern,Kampala,University,7.983414249539186,35,Female,1313842,Borehole,Beans,2024,Yield Increased,71,520,311
72,Eastern,Gulu,Primary,1.8392927517428643,38,Male,409816,Tap,Coffee,2024,Kits Distributed,86,520,421
73,Central,Kampala,Primary,3.523141204687226,31,Female,1881884,Tap,Beans,2024,Kits Distributed,2,520,467
74,Eastern,Lira,Secondary,4.2915857386937635,27,Female,516882,Borehole,Maize,2022,Kits Distributed,36,520,323
75,Central,Lira,University,5.414628134330267,50,Male,1949713,Borehole,Maize,2022,Yield Increased,94,520,438
76,Eastern,Kampala,Primary,1.3926804866536884,26,Female,1203000,River,Maize,2023,Kits Distributed,92,520,493
77,Western,Lira,Secondary,5.119302869707755,35,Female,1803566,Well,Coffee,2023,Yield Increased,40,520,300
78,Western,Lira,Secondary,4.752524085258385,30,Male,1468026,Well,Maize,2024,Kits Distributed,19,520,485
79,Northern,Lira,Secondary,4.301764072987625,34,Male,1372764,River,Cassava,2024,Yield Increased,66,520,327
