ID,Region,District,Education,Yield,Age,Gender,Income,Water_Source,Crop,Year,Research_Title,Methodology,P_Value,Findings
1,Northern,Gulu,Primary,3.686387412215288,57,Female,1129135,Tap,Cassava,2023,Thesis,KII,0.025893338462137223,Education increases yield
2,Western,Mbarara,Secondary,3.9636471660756407,47,Female,1677608,Tap,Coffee,2024,Thesis,FGD,0.028637165886506923,Education increases yield
3,Central,Gulu,Primary,1.3145799953196888,43,Male,1774887,Borehole,Coffee,2023,Thesis,KII,0.047212295318286475,Education increases yield
4,Northern,Gulu,University,6.401107507746449,55,Male,1667448,Borehole,Beans,2023,Thesis,FGD,0.014063281264690447,Education increases yield
5,Northern,Gulu,None,1.9704252171166425,39,Female,1203694,Tap,Cassava,2024,Thesis,Survey,0.04689772372495984,Education increases yield
6,Western,Kampala,Primary,3.176770270716955,56,Male,1729045,River,Coffee,2022,Thesis,FGD,0.04043808685782008,Education increases yield
7,Central,Kampala,Primary,3.018639647613567,56,Female,1807706,Well,Maize,2024,Thesis,FGD,0.036813808650248074,Education increases yield
8,Central,Kampala,Secondary,3.575293276837897,51,Female,1215590,Well,Coffee,2024,Thesis,FGD,0.039556643190071135,Education increases yield
9,Northern,Mbarara,University,7.551902618032698,42,Female,1303765,Well,Cassava,2022,Thesis,Survey,0.030665827248122793,Education increases yield
10,Eastern,Lira,None,2.176899078037066,53,Female,1638838,Well,Beans,2023,Thesis,Survey,0.012959920512661805,Education increases yield
11,Northern,Gulu,University,6.104578370110024,30,Female,508067,Well,Coffee,2024,Thesis,KII,0.010285253473152785,Education increases yield
12,Northern,Gulu,None,1.1584299024574753,46,Female,1545800,Tap,Maize,2022,Thesis,KII,0.04345073035666914,Education increases yield
13,Northern,Mbarara,University,8.820401963682112,59,Female,1252050,Well,Coffee,2022,Thesis,KII,0.03653183072719583,Education increases yield
14,Northern,Gulu,None,0.4601257235366124,26,Female,1373761,River,Maize,2024,Thesis,Survey,0.011447009855286502,Education increases yield
15,Western,Kampala,None,0.2,32,Male,672923,River,Cassava,2024,Thesis,Survey,0.03113957492784568,Education increases yield
16,Central,Lira,Secondary,5.582904434464799,48,Male,858620,Borehole,Beans,2022,Thesis,Survey,0.022929777589296967,Education increases yield
17,Western,Arua,University,7.93660477170456,61,Male,1177722,Borehole,Cassava,2024,Thesis,Survey,0.008774103328191602,Education increases yield
18,Western,Gulu,University,6.343032676422575,44,Male,1105958,Borehole,Coffee,2022,Thesis,Survey,0.027060998358501055,Education increases yield
19,Western,Kampala,Secondary,4.087008218131913,48,Female,1254194,Borehole,Coffee,2024,Thesis,FGD,0.014794435530854445,Education increases yield
20,Northern,Arua,University,5.575064949811048,27,Male,901125,Tap,Beans,2022,Thesis,KII,0.0057159620837210065,Education increases yield
21,Eastern,Lira,None,1.288952272609702,54,Male,981550,River,Maize,2024,Thesis,FGD,0.023880956628725133,Education increases yield
