ID,Case_ID,Region,District,Settlement,Education,Gender,Age,Age_Group,Marital_Status,GBV_Type,Perpetrator,Location_Incident,Yield,Water_Source,Irrigation,Crop,Reported,Reported_Within_72H,Service_Sought,Service_Provided,Referral_Made,Risk_Level,Repeat_Case,Month,Year,Income_UGX
340,GBV-UG-10000,Eastern,Kampala,Bidi Bidi,Primary,Female,8,0-17,Married,Defilement,Intimate Partner,Water Point,1,Tap,No,N/A,No,Yes,Psychosocial,Yes,Police,Medium,No,Jan,2024,578298
341,GBV-UG-10001,Eastern,Mbarara,Bidi Bidi,Secondary,Female,46,18-35,Single,Early Marriage,Intimate Partner,Water Point,1,Borehole,No,N/A,No,Yes,Health,No,Health,High,No,Jan,2024,563284
342,GBV-UG-10002,West Nile,Mbarara,Nakivale,Secondary,Male,13,0-17,Single,Defilement,Family Member,Water Point,1,Tap,No,N/A,No,No,Legal,Yes,Police,Low,Yes,Feb,2024,324971
343,GBV-UG-10003,Eastern,Mbarara,Nakivale,None,Female,22,18-35,Single,Early Marriage,Stranger,Home,1,Borehole,No,N/A,No,No,Health,No,Police,High,Yes,Mar,2024,256372
344,GBV-UG-10004,Western,Mbale,Host Community,None,Female,22,18-35,Single,Domestic Violence,Stranger,Home,1,Borehole,No,N/A,No,No,Health,No,Health,High,No,Jan,2024,614193
345,GBV-UG-10005,Western,Mbale,Host Community,Primary,Female,10,0-17,Single,Defilement,Stranger,School,1,Tap,No,N/A,No,No,Legal,Yes,Police,Low,Yes,Feb,2024,577286
346,GBV-UG-10006,Eastern,Mbarara,Nakivale,None,Female,45,18-35,Single,Early Marriage,Intimate Partner,Water Point,1,Tap,No,N/A,Yes,Yes,Psychosocial,No,Police,High,Yes,Jan,2024,598500
347,GBV-UG-10007,West Nile,Mbale,Bidi Bidi,Primary,Female,14,0-17,Single,Defilement,Family Member,Home,1,Borehole,No,N/A,No,No,Psychosocial,No,Police,High,No,Mar,2024,589967
348,GBV-UG-10008,West Nile,Mbarara,Host Community,Secondary,Female,16,0-17,Married,Defilement,Intimate Partner,Water Point,1,Tap,No,N/A,Yes,No,Health,Yes,Health,Medium,Yes,Jan,2024,100272
349,GBV-UG-10009,South West,Kampala,Nakivale,None,Female,59,18-35,Married,Sexual Assault,Stranger,Field,1,Tap,No,N/A,No,No,Health,No,Health,High,No,Feb,2024,565581
350,GBV-UG-10010,Western,Mbarara,Bidi Bidi,None,Female,60,18-35,Married,Physical Assault,Intimate Partner,Home,1,Tap,No,N/A,No,No,Psychosocial,No,Health,Low,No,Feb,2024,208515
351,GBV-UG-10011,Northern,Mbarara,Nakivale,Primary,Female,60,18-35,Single,Early Marriage,Stranger,Field,1,Tap,No,N/A,No,Yes,Psychosocial,Yes,Police,Low,Yes,Mar,2024,574924
352,GBV-UG-10012,South West,Kampala,Nakivale,Primary,Male,51,18-35,Single,Sexual Assault,Family Member,Field,1,Tap,No,N/A,No,Yes,Psychosocial,Yes,Health,Medium,Yes,Mar,2024,34372
353,GBV-UG-10013,Western,Mbarara,Host Community,Primary,Female,26,18-35,Married,Sexual Assault,Family Member,School,1,Borehole,No,N/A,Yes,Yes,Psychosocial,Yes,Health,High,No,Mar,2024,273479
354,GBV-UG-10014,Northern,Mbarara,Bidi Bidi,Primary,Male,28,18-35,Single,Early Marriage,Intimate Partner,Water Point,1,Tap,No,N/A,Yes,No,Health,Yes,Health,Low,Yes,Jan,2024,577609
355,GBV-UG-10015,Northern,Mbarara,Host Community,Primary,Male,22,18-35,Single,Early Marriage,Stranger,School,1,Borehole,No,N/A,No,No,Health,No,Health,High,No,Jan,2024,349105
356,GBV-UG-10016,West Nile,Mbarara,Nakivale,Primary,Female,18,18-35,Single,Domestic Violence,Stranger,Field,1,Tap,No,N/A,No,No,Psychosocial,No,Health,Low,No,Jan,2024,441717
357,GBV-UG-10017,Eastern,Mbarara,Host Community,Secondary,Female,45,18-35,Married,Sexual Assault,Family Member,School,1,Borehole,No,N/A,Yes,Yes,Health,No,Police,High,Yes,Feb,2024,473283
358,GBV-UG-10018,Northern,Mbarara,Bidi Bidi,Primary,Female,53,18-35,Single,Sexual Assault,Family Member,Water Point,1,Tap,No,N/A,No,Yes,Psychosocial,No,Police,High,No,Feb,2024,162960
359,GBV-UG-10019,Northern,Kampala,Host Community,Secondary,Female,15,0-17,Married,Defilement,Intimate Partner,Home,1,Tap,No,N/A,Yes,No,Legal,No,Health,Low,Yes,Mar,2024,335096
360,GBV-UG-10020,South West,Kampala,Nakivale,Secondary,Female,22,18-35,Single,Sexual Assault,Family Member,Field,1,Borehole,No,N/A,Yes,Yes,Legal,No,Health,Low,Yes,Mar,2024,763139
361,GBV-UG-10021,Western,Gulu,Nakivale,None,Female,32,18-35,Married,Domestic Violence,Family Member,School,1,Borehole,No,N/A,No,Yes,Psychosocial,Yes,Police,Medium,No,Feb,2024,363945
362,GBV-UG-10022,Western,Kampala,Nakivale,Secondary,Female,57,18-35,Married,Physical Assault,Intimate Partner,School,1,Tap,No,N/A,Yes,Yes,Legal,No,Police,Low,Yes,Mar,2024,120789
363,GBV-UG-10023,South West,Kampala,Bidi Bidi,None,Female,33,18-35,Single,Domestic Violence,Intimate Partner,School,1,Tap,No,N/A,Yes,Yes,Legal,Yes,Police,Low,No,Mar,2024,117491
364,GBV-UG-10024,South West,Kampala,Host Community,Secondary,Female,60,18-35,Single,Early Marriage,Family Member,Field,1,Tap,No,N/A,Yes,Yes,Psychosocial,Yes,Police,High,No,Feb,2024,586363
365,GBV-UG-10025,Northern,Mbale,Nakivale,None,Female,17,0-17,Single,Defilement,Stranger,Water Point,1,Tap,No,N/A,Yes,No,Psychosocial,No,Police,High,Yes,Feb,2024,661025
366,GBV-UG-10026,Northern,Kampala,Bidi Bidi,Primary,Female,17,0-17,Married,Defilement,Stranger,Field,1,Tap,No,N/A,No,Yes,Health,No,Health,Medium,No,Feb,2024,651419
367,GBV-UG-10027,Central,Mbarara,Nakivale,Primary,Female,44,18-35,Single,Sexual Assault,Intimate Partner,Field,1,Tap,No,N/A,No,No,Health,Yes,Health,Low,Yes,Jan,2024,279841
368,GBV-UG-10028,Northern,Gulu,Bidi Bidi,None,Female,16,0-17,Married,Defilement,Intimate Partner,Home,1,Tap,No,N/A,Yes,Yes,Legal,Yes,Police,Medium,No,Mar,2024,598330
369,GBV-UG-10029,South West,Mbale,Bidi Bidi,Primary,Male,47,18-35,Married,Sexual Assault,Family Member,Water Point,1,Tap,No,N/A,No,Yes,Psychosocial,Yes,Health,Medium,Yes,Feb,2024,473876
370,GBV-UG-10030,Central,Kampala,Host Community,Primary,Female,43,18-35,Married,Sexual Assault,Stranger,Field,1,Tap,No,N/A,No,No,Health,No,Health,Medium,Yes,Mar,2024,723077
371,GBV-UG-10031,West Nile,Kampala,Host Community,Primary,Female,35,18-35,Married,Sexual Assault,Family Member,School,1,Tap,No,N/A,Yes,No,Legal,No,Health,High,Yes,Jan,2024,589532
372,GBV-UG-10032,South West,Mbale,Host Community,Primary,Female,35,18-35,Single,Early Marriage,Intimate Partner,Water Point,1,Borehole,No,N/A,Yes,No,Psychosocial,Yes,Police,Low,Yes,Feb,2024,254997
373,GBV-UG-10033,Central,Mbarara,Bidi Bidi,Primary,Female,41,18-35,Married,Early Marriage,Intimate Partner,Water Point,1,Tap,No,N/A,Yes,No,Legal,Yes,Health,Low,Yes,Feb,2024,286429
374,GBV-UG-10034,Western,Kampala,Host Community,Secondary,Male,25,18-35,Married,Domestic Violence,Intimate Partner,School,1,Borehole,No,N/A,Yes,Yes,Legal,No,Health,Low,Yes,Feb,2024,564456
375,GBV-UG-10035,Central,Mbarara,Nakivale,None,Female,28,18-35,Married,Domestic Violence,Intimate Partner,Water Point,1,Tap,No,N/A,Yes,No,Psychosocial,No,Police,High,No,Jan,2024,348362
376,GBV-UG-10036,Western,Mbale,Host Community,Primary,Female,23,18-35,Married,Sexual Assault,Family Member,Home,1,Tap,No,N/A,No,No,Psychosocial,No,Police,Low,No,Feb,2024,404234
377,GBV-UG-10037,Northern,Mbarara,Bidi Bidi,Secondary,Female,20,18-35,Married,Domestic Violence,Intimate Partner,Field,1,Borehole,No,N/A,Yes,Yes,Psychosocial,No,Health,Medium,No,Mar,2024,768763
378,GBV-UG-10038,West Nile,Kampala,Bidi Bidi,None,Female,35,18-35,Single,Domestic Violence,Family Member,Field,1,Tap,No,N/A,No,Yes,Health,No,Health,High,Yes,Jan,2024,378519
379,GBV-UG-10039,Western,Mbale,Host Community,Secondary,Female,52,18-35,Married,Domestic Violence,Family Member,School,1,Borehole,No,N/A,No,Yes,Psychosocial,Yes,Health,High,Yes,Feb,2024,38827
380,GBV-UG-10040,Northern,Kampala,Nakivale,None,Female,8,0-17,Married,Defilement,Stranger,Water Point,1,Tap,No,N/A,Yes,Yes,Health,Yes,Health,Low,Yes,Mar,2024,297771
381,GBV-UG-10041,Eastern,Mbale,Bidi Bidi,Secondary,Female,18,18-35,Married,Early Marriage,Family Member,Home,1,Borehole,No,N/A,No,No,Psychosocial,Yes,Health,Low,Yes,Feb,2024,744790
382,GBV-UG-10042,Western,Gulu,Bidi Bidi,Secondary,Female,51,18-35,Married,Physical Assault,Stranger,Water Point,1,Borehole,No,N/A,Yes,No,Legal,No,Health,High,Yes,Feb,2024,799151
383,GBV-UG-10043,Northern,Mbarara,Bidi Bidi,None,Female,34,18-35,Married,Sexual Assault,Stranger,Field,1,Tap,No,N/A,No,Yes,Psychosocial,No,Police,Medium,Yes,Jan,2024,530734
384,GBV-UG-10044,Western,Mbale,Bidi Bidi,None,Female,27,18-35,Single,Early Marriage,Intimate Partner,School,1,Tap,No,N/A,Yes,Yes,Legal,No,Health,Low,No,Feb,2024,412954
385,GBV-UG-10045,Northern,Mbarara,Nakivale,Secondary,Female,47,18-35,Married,Physical Assault,Family Member,Home,1,Tap,No,N/A,No,No,Psychosocial,No,Police,High,No,Jan,2024,731782
386,GBV-UG-10046,South West,Mbarara,Nakivale,Secondary,Female,54,18-35,Single,Physical Assault,Intimate Partner,Home,1,Tap,No,N/A,No,No,Psychosocial,No,Police,Low,No,Feb,2024,566702
387,GBV-UG-10047,South West,Mbarara,Nakivale,None,Female,42,18-35,Single,Physical Assault,Intimate Partner,Water Point,1,Tap,No,N/A,No,No,Health,Yes,Police,Medium,Yes,Jan,2024,512157
388,GBV-UG-10048,Northern,Kampala,Nakivale,None,Female,55,18-35,Single,Sexual Assault,Family Member,Field,1,Tap,No,N/A,No,No,Health,No,Health,Medium,Yes,Mar,2024,354356
389,GBV-UG-10049,Eastern,Kampala,Nakivale,Secondary,Female,18,18-35,Single,Sexual Assault,Intimate Partner,Home,1,Borehole,No,N/A,Yes,Yes,Legal,Yes,Health,Medium,No,Jan,2024,211982
390,GBV-UG-10050,Central,Mbale,Nakivale,Secondary,Female,16,0-17,Single,Defilement,Intimate Partner,Field,1,Borehole,No,N/A,No,No,Legal,No,Health,Medium,Yes,Jan,2024,537648
391,GBV-UG-10051,Central,Kampala,Nakivale,Secondary,Female,42,18-35,Married,Physical Assault,Family Member,Field,1,Tap,No,N/A,No,Yes,Health,No,Police,Low,No,Jan,2024,42831
392,GBV-UG-10052,West Nile,Mbale,Nakivale,Secondary,Female,47,18-35,Married,Sexual Assault,Family Member,School,1,Borehole,No,N/A,No,No,Legal,No,Police,Medium,Yes,Mar,2024,495611
393,GBV-UG-10053,Eastern,Gulu,Host Community,None,Female,60,18-35,Married,Physical Assault,Family Member,School,1,Tap,No,N/A,No,No,Legal,No,Health,High,Yes,Jan,2024,376915
394,GBV-UG-10054,West Nile,Gulu,Nakivale,Primary,Female,53,18-35,Married,Domestic Violence,Family Member,School,1,Tap,No,N/A,No,No,Psychosocial,No,Police,Low,No,Mar,2024,505712
395,GBV-UG-10055,Eastern,Mbale,Nakivale,Primary,Female,24,18-35,Single,Early Marriage,Stranger,Field,1,Tap,No,N/A,No,No,Health,Yes,Police,Medium,Yes,Mar,2024,336127
396,GBV-UG-10056,Eastern,Mbale,Host Community,Secondary,Female,51,18-35,Single,Physical Assault,Family Member,Field,1,Borehole,No,N/A,No,Yes,Health,No,Police,Medium,Yes,Mar,2024,70205
397,GBV-UG-10057,Western,Mbarara,Bidi Bidi,Primary,Female,24,18-35,Married,Domestic Violence,Intimate Partner,Field,1,Borehole,No,N/A,No,Yes,Psychosocial,Yes,Health,High,Yes,Jan,2024,305698
398,GBV-UG-10058,South West,Gulu,Bidi Bidi,Primary,Female,9,0-17,Married,Defilement,Family Member,Field,1,Borehole,No,N/A,No,Yes,Legal,No,Health,Low,No,Jan,2024,382555
399,GBV-UG-10059,South West,Gulu,Nakivale,Primary,Female,26,18-35,Married,Early Marriage,Stranger,School,1,Borehole,No,N/A,Yes,No,Legal,No,Health,High,Yes,Jan,2024,713122
400,GBV-UG-10060,South West,Gulu,Host Community,Primary,Female,38,18-35,Single,Early Marriage,Intimate Partner,Water Point,1,Tap,No,N/A,Yes,No,Psychosocial,No,Health,High,No,Feb,2024,28262
401,GBV-UG-10061,West Nile,Kampala,Host Community,Primary,Female,16,0-17,Single,Defilement,Stranger,Water Point,1,Borehole,No,N/A,Yes,Yes,Health,Yes,Health,Medium,Yes,Jan,2024,514650
402,GBV-UG-10062,West Nile,Kampala,Nakivale,Secondary,Female,8,0-17,Married,Defilement,Family Member,Water Point,1,Tap,No,N/A,No,Yes,Health,No,Police,Low,No,Mar,2024,67602
403,GBV-UG-10063,South West,Gulu,Bidi Bidi,None,Male,11,0-17,Single,Defilement,Stranger,Field,1,Borehole,No,N/A,No,No,Legal,Yes,Police,High,Yes,Feb,2024,250195
404,GBV-UG-10064,South West,Kampala,Nakivale,None,Female,23,18-35,Married,Sexual Assault,Family Member,Home,1,Tap,No,N/A,No,No,Health,Yes,Health,High,No,Jan,2024,471918
405,GBV-UG-10065,West Nile,Gulu,Bidi Bidi,None,Female,19,18-35,Married,Domestic Violence,Family Member,Water Point,1,Tap,No,N/A,No,No,Legal,Yes,Police,Medium,Yes,Mar,2024,456462
406,GBV-UG-10066,Northern,Kampala,Bidi Bidi,Primary,Male,12,0-17,Married,Defilement,Intimate Partner,Home,1,Borehole,No,N/A,Yes,Yes,Psychosocial,Yes,Health,Medium,No,Jan,2024,659068
407,GBV-UG-10067,Northern,Kampala,Host Community,None,Female,20,18-35,Married,Sexual Assault,Stranger,School,1,Borehole,No,N/A,No,Yes,Legal,Yes,Police,High,Yes,Jan,2024,264473
408,GBV-UG-10068,Central,Gulu,Host Community,Primary,Female,61,18-35,Single,Sexual Assault,Intimate Partner,Water Point,1,Borehole,No,N/A,Yes,Yes,Legal,Yes,Health,Low,Yes,Feb,2024,463243
409,GBV-UG-10069,West Nile,Mbale,Bidi Bidi,Primary,Female,59,18-35,Married,Domestic Violence,Intimate Partner,Field,1,Borehole,No,N/A,No,Yes,Legal,Yes,Police,High,Yes,Feb,2024,253682
410,GBV-UG-10070,Central,Kampala,Host Community,Primary,Female,51,18-35,Married,Early Marriage,Intimate Partner,Field,1,Tap,No,N/A,No,Yes,Psychosocial,No,Health,Low,Yes,Jan,2024,538514
411,GBV-UG-10071,South West,Mbarara,Host Community,Primary,Female,27,18-35,Single,Early Marriage,Stranger,School,1,Borehole,No,N/A,No,No,Health,No,Police,Low,No,Feb,2024,289127
412,GBV-UG-10072,Northern,Gulu,Host Community,Secondary,Female,37,18-35,Single,Early Marriage,Intimate Partner,School,1,Borehole,No,N/A,Yes,Yes,Legal,No,Health,Medium,No,Mar,2024,336538
413,GBV-UG-10073,Eastern,Gulu,Bidi Bidi,None,Female,29,18-35,Married,Sexual Assault,Intimate Partner,Home,1,Borehole,No,N/A,No,Yes,Legal,Yes,Health,Medium,No,Mar,2024,143459
414,GBV-UG-10074,South West,Mbale,Nakivale,Primary,Female,19,18-35,Married,Domestic Violence,Stranger,School,1,Tap,No,N/A,No,No,Legal,Yes,Health,Medium,Yes,Mar,2024,136542
415,GBV-UG-10075,Central,Kampala,Nakivale,Primary,Female,49,18-35,Married,Physical Assault,Intimate Partner,Field,1,Tap,No,N/A,No,Yes,Psychosocial,No,Police,Medium,Yes,Mar,2024,421397
416,GBV-UG-10076,Western,Kampala,Host Community,Primary,Female,46,18-35,Married,Domestic Violence,Intimate Partner,Home,1,Tap,No,N/A,Yes,No,Psychosocial,Yes,Police,High,Yes,Jan,2024,718182
417,GBV-UG-10077,West Nile,Mbale,Bidi Bidi,Secondary,Female,29,18-35,Single,Domestic Violence,Stranger,Water Point,1,Borehole,No,N/A,Yes,No,Legal,Yes,Health,Medium,No,Feb,2024,361657
418,GBV-UG-10078,South West,Gulu,Nakivale,None,Female,38,18-35,Married,Domestic Violence,Intimate Partner,School,1,Tap,No,N/A,No,No,Psychosocial,No,Health,High,No,Mar,2024,206136
