ID,Item_Code,Region,District,Warehouse,Education,Category,Item_Name,Crop,Unit,Water_Source,Irrigation,Stock_On_Hand,Stock_Reserved,Stock_Available,Yield,Unit_Cost_UGX,Total_Value_UGX,Min_Stock_Level,Max_Stock_Level,Status,Last_Stock_In,Last_Stock_Out,Expiry_Date,Donor,Income_UGX
340,FOO-1000,Western,Kampala,Food Warehouse,Primary,Food,Rice,Rice,Pcs,Borehole,No,2656,398,2257,99483,37456,99483136,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,WFP,99483136
341,AGR-1001,Central,Gulu,Agriculture Warehouse,Primary,Agriculture,Hoe,Hoe,Pcs,Borehole,No,74,11,62,1081,14610,1081140,200,3000,Low,2024-06-01,2024-08-15,N/A,UNICEF,1081140
342,WAS-1002,Central,Yumbe,WASH Warehouse,Secondary,WASH,Soap,Soap,Kit,Borehole,No,4447,667,3779,24880,5595,24880965,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,24880965
343,NFI-1003,Northern,Yumbe,NFI Warehouse,Secondary,NFI,Mosquito Net,Mosquito Net,Kit,Borehole,No,2778,416,2361,104375,37572,104375016,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,104375016
344,SHE-1004,Northern,Kampala,Shelter Warehouse,Secondary,Shelter,Iron Sheets,Iron Sheets,Kit,Borehole,No,4669,700,3968,114460,24515,114460535,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,114460535
345,AGR-1005,Eastern,Mbarara,Agriculture Warehouse,Primary,Agriculture,Maize Seeds,Maize Seeds,Kg,Borehole,No,136,20,115,6367,46818,6367248,200,3000,Low,2024-06-01,2024-08-15,N/A,UNHCR,6367248
346,SHE-1006,Western,Kampala,Shelter Warehouse,Secondary,Shelter,Cement,Cement,Pcs,Borehole,No,1933,289,1643,87186,45104,87186032,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,87186032
347,HEA-1007,Western,Yumbe,Health Warehouse,Primary,Health,Mama Kit,Mama Kit,Pcs,Borehole,No,304,45,258,8693,28598,8693792,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,WFP,8693792
348,FOO-1008,Eastern,Kampala,Food Warehouse,Secondary,Food,Maize Flour,Maize Flour,Pcs,Borehole,No,700,105,595,22441,32059,22441300,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,WFP,22441300
349,SHE-1009,Western,Mbarara,Shelter Warehouse,Secondary,Shelter,Cement,Cement,Kit,Borehole,No,396,59,336,15157,38277,15157692,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNHCR,15157692
350,WAS-1010,Northern,Mbarara,WASH Warehouse,Secondary,WASH,Soap,Soap,Kg,Borehole,No,4667,700,3966,164712,35293,164712431,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,164712431
351,FOO-1011,Northern,Yumbe,Food Warehouse,Secondary,Food,Beans,Beans,Kit,Borehole,No,3037,455,2581,69012,22724,69012788,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,UNHCR,69012788
352,WAS-1012,Eastern,Kampala,WASH Warehouse,Primary,WASH,Water Tank,Water Tank,Pcs,Borehole,No,1967,295,1671,85686,43562,85686454,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,85686454
353,AGR-1013,Western,Gulu,Agriculture Warehouse,Primary,Agriculture,Maize Seeds,Maize Seeds,Kg,Borehole,No,4086,612,3473,144493,35363,144493218,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,144493218
354,WAS-1014,Eastern,Mbarara,WASH Warehouse,Secondary,WASH,Soap,Soap,Kg,Borehole,No,1483,222,1260,22645,15270,22645410,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNHCR,22645410
355,SHE-1015,Western,Mbarara,Shelter Warehouse,Secondary,Shelter,Cement,Cement,Kit,Borehole,No,3032,454,2577,9820,3239,9820648,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,9820648
356,FOO-1016,Western,Kampala,Food Warehouse,Secondary,Food,Maize Flour,Maize Flour,Kg,Borehole,No,3379,506,2872,78463,23221,78463759,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,UNHCR,78463759
357,SHE-1017,Northern,Yumbe,Shelter Warehouse,Secondary,Shelter,Cement,Cement,Kit,Borehole,No,4156,623,3532,178824,43028,178824368,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,178824368
358,AGR-1018,Central,Gulu,Agriculture Warehouse,Primary,Agriculture,Hoe,Hoe,Kit,Borehole,No,1239,185,1053,53408,43106,53408334,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,53408334
359,SHE-1019,Northern,Mbarara,Shelter Warehouse,Secondary,Shelter,Cement,Cement,Kg,Borehole,No,1613,241,1371,5540,3435,5540655,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNHCR,5540655
360,SHE-1020,Northern,Mbarara,Shelter Warehouse,Primary,Shelter,Cement,Cement,Pcs,Borehole,No,2457,368,2088,96007,39075,96007275,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNHCR,96007275
361,HEA-1021,Central,Gulu,Health Warehouse,Secondary,Health,Mama Kit,Mama Kit,Kit,Borehole,No,1851,277,1573,63887,34515,63887265,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,WFP,63887265
362,HEA-1022,Western,Gulu,Health Warehouse,Secondary,Health,Mama Kit,Mama Kit,Pcs,Borehole,No,422,63,358,21049,49880,21049360,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,WFP,21049360
363,AGR-1023,Eastern,Yumbe,Agriculture Warehouse,Primary,Agriculture,Maize Seeds,Maize Seeds,Kit,Borehole,No,2196,329,1866,35327,16087,35327052,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,35327052
364,WAS-1024,Eastern,Yumbe,WASH Warehouse,Secondary,WASH,Soap,Soap,Kit,Borehole,No,300,45,255,3469,11565,3469500,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,3469500
365,HEA-1025,Eastern,Kampala,Health Warehouse,Secondary,Health,Mama Kit,Mama Kit,Kg,Borehole,No,4577,686,3890,188938,41280,188938560,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,WFP,188938560
366,AGR-1026,Eastern,Kampala,Agriculture Warehouse,Secondary,Agriculture,Maize Seeds,Maize Seeds,Pcs,Borehole,No,4647,697,3949,76726,16511,76726617,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,76726617
367,NFI-1027,Eastern,Mbarara,NFI Warehouse,Primary,NFI,Blanket,Blanket,Kit,Borehole,No,1351,202,1148,36098,26720,36098720,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,36098720
368,SHE-1028,Eastern,Gulu,Shelter Warehouse,Primary,Shelter,Cement,Cement,Kg,Borehole,No,1650,247,1402,14825,8985,14825250,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,14825250
369,SHE-1029,Central,Yumbe,Shelter Warehouse,Primary,Shelter,Cement,Cement,Kg,Borehole,No,255,38,216,971,3811,971805,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,971805
370,NFI-1030,Western,Kampala,NFI Warehouse,Secondary,NFI,Blanket,Blanket,Kit,Borehole,No,3113,466,2646,69746,22405,69746765,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,69746765
371,HEA-1031,Eastern,Yumbe,Health Warehouse,Secondary,Health,Malaria Kit,Malaria Kit,Kit,Borehole,No,1652,247,1404,75161,45497,75161044,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,WFP,75161044
372,AGR-1032,Eastern,Gulu,Agriculture Warehouse,Primary,Agriculture,Maize Seeds,Maize Seeds,Pcs,Borehole,No,31,4,26,711,22944,711264,200,3000,Low,2024-06-01,2024-08-15,N/A,UNHCR,711264
373,HEA-1033,Eastern,Mbarara,Health Warehouse,Secondary,Health,Malaria Kit,Malaria Kit,Kg,Borehole,No,3929,589,3339,195597,49783,195597407,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,UNICEF,195597407
374,NFI-1034,Western,Yumbe,NFI Warehouse,Primary,NFI,Jerrycan,Jerrycan,Kg,Borehole,No,1528,229,1298,54088,35398,54088144,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,54088144
