ID,Region,District,Education,Gender_HH_Head,Age_HH_Head,Household_Size,Dependents,Livelihood_Main,Livelihood_Secondary,Crop,Yield,Farm_Size_Acres,Water_Source,Irrigation,Livestock_TLU,Food_Insecurity_Score,Food_Consumption_Score,Months_Food_Secure,Coping_Strategy_Index,Savings_UGX,Loan_UGX,Income_UGX,Expenditure_Food_Pct,Shocks_Last_Year,Assistance_Received
340,Western,Gulu,University,Female,71,9,1,Fishing,Construction,Coffee,0.5,2.5,Rain,Yes,3.1,4,90,9,1,990751,457915,206071,74,Flood,Food
341,Northern,Kampala,None,Male,21,9,0,Boda Boda,Subsistence Farming,Maize,0.5,1.5,Rain,No,0.4,3,57,2,14,589852,49143,378893,63,Drought,None
342,Eastern,Kampala,Secondary,Male,23,2,1,Commercial Farming,Salaried Employment,Beans,0.58,1.9,Rain,Yes,5.8,5,76,11,17,943368,247049,1985076,79,None,Cash
343,Northern,Mbale,University,Female,56,9,0,Fishing,Salaried Employment,Coffee,0.5,2.2,Rain,Yes,3.2,0,52,5,19,860502,359444,230082,38,Price Rise,None
344,Western,Gulu,University,Female,68,9,0,Salaried Employment,Livestock,Maize,0.5,2.2,Borehole,No,2.4,3,91,5,27,316090,17091,1407688,73,Flood,Food
345,Northern,Mbarara,None,Male,61,8,2,Construction,Commercial Farming,Coffee,0.5,2.1,Borehole,Yes,8.0,10,35,5,0,37108,493058,550731,40,None,None
346,Eastern,Mbale,Secondary,Male,41,5,1,Salaried Employment,Small Business,Beans,0.5,4.7,Borehole,Yes,6.4,6,82,8,20,474706,41397,3574908,78,None,Cash
347,Central,Kampala,None,Male,20,5,0,Charcoal Burning,Livestock,Coffee,0.5,3.1,Borehole,Yes,7.2,0,111,6,24,265583,72389,851509,36,None,Cash
348,Northern,Mbale,Secondary,Female,34,4,3,Livestock,Charcoal Burning,Beans,0.5,4.1,Rain,No,2.4,2,49,6,30,435153,114377,375147,82,Price Rise,None
349,Eastern,Mbarara,University,Male,47,5,2,Salaried Employment,Subsistence Farming,Beans,0.5,2.6,Borehole,Yes,1.1,8,48,9,30,81228,213623,3720416,37,None,Cash
350,Northern,Kampala,Secondary,Female,72,4,4,Fishing,Small Business,Beans,0.5,0.2,Rain,No,7.4,3,69,7,16,108577,367817,700213,38,None,Food
351,Northern,Gulu,Primary,Male,43,4,2,Boda Boda,Livestock,Maize,0.5,5.9,Borehole,Yes,3.1,10,91,8,32,35512,37149,846948,64,None,Food
352,Central,Mbale,University,Female,60,5,3,Construction,Subsistence Farming,Beans,0.5,5.4,Rain,No,5.1,9,102,4,2,611704,493247,712072,61,None,Food
353,Central,Kampala,Secondary,Male,47,8,3,Casual Labor,Casual Labor,Coffee,0.5,1.4,Borehole,No,4.0,8,64,6,27,609690,417650,752545,39,Flood,None
354,Northern,Mbarara,None,Female,24,10,0,Fishing,Casual Labor,Coffee,0.5,4.9,Rain,No,4.1,9,105,11,12,135993,124712,506191,53,Flood,Cash
355,Central,Mbarara,Secondary,Male,65,9,0,Commercial Farming,Small Business,Beans,3.3,2.9,Borehole,No,4.6,3,86,12,33,906622,128100,2488781,51,Flood,Cash
356,Northern,Gulu,Secondary,Male,70,4,4,Boda Boda,Boda Boda,Maize,0.5,4.2,Rain,Yes,0.1,1,83,8,0,210955,450968,719326,54,Price Rise,None
357,Central,Mbarara,University,Male,40,8,2,Charcoal Burning,Construction,Maize,0.5,5.9,Rain,Yes,6.8,8,100,7,6,964561,183848,472342,74,Price Rise,Cash
358,Northern,Mbale,University,Female,61,7,3,Small Business,Commercial Farming,Maize,0.5,0.6,Borehole,No,6.7,5,106,7,1,487657,158374,701753,54,Flood,Cash
359,Eastern,Gulu,Primary,Male,31,5,4,Salaried Employment,Commercial Farming,Beans,0.5,3.1,Borehole,No,5.9,8,70,11,9,410265,444055,3466871,44,Price Rise,Cash
360,Northern,Mbale,Primary,Female,72,3,2,Subsistence Farming,Commercial Farming,Beans,2.52,5.9,Borehole,Yes,7.7,1,58,7,1,566136,309230,322300,49,Price Rise,Food
361,Northern,Gulu,Primary,Male,63,4,4,Boda Boda,Salaried Employment,Coffee,0.5,0.6,Borehole,No,5.7,10,93,9,26,114156,358315,791277,83,None,Cash
362,Eastern,Mbale,University,Female,52,6,3,Subsistence Farming,Boda Boda,Coffee,5.34,3.5,Rain,Yes,6.3,4,37,12,18,994203,352162,89574,68,Flood,Cash
