ID,Project_Code,Region,District,Education,Sector,Indicator,Indicator_Type,Crop,Water_Source,Irrigation,Baseline,Target,Achieved,Yield,Variance,Achievement_Status,Reporting_Period,Month,Year,Beneficiaries_Target,Beneficiaries_Reached,Budget_UGX,Expenditure_UGX,Donor,Implementing_Partner,Income_UGX
340,UG-2024-1000,Western,Gulu,Secondary,Education,% Children Immunized,Outcome,Education,Borehole,No,33.3,55.4,42.2,76.1,-13.2,At Risk,Q1 2024,Jan,2024,5563,9445,110501703,171373514,EU,World Vision,1190264
341,UG-2024-1001,Central,Gulu,None,Education,% Children Immunized,Outcome,Education,Borehole,No,56.7,94.6,67.8,71.6,-26.8,At Risk,Q1 2024,Jan,2024,19266,10059,54209869,175722738,UNHCR,World Vision,1230979
342,UG-2024-1002,Eastern,Mbarara,None,Livelihood,% HH with Latrine,Outcome,Livelihood,Borehole,No,42.9,71.5,78.8,110.2,7.3,Achieved,Q2 2024,Jan,2024,12453,10131,25272507,4851515,EU,DRC,651644
343,UG-2024-1003,Central,Kampala,Primary,Livelihood,% HH with Latrine,Outcome,Livelihood,Borehole,No,39.3,65.6,69.5,106.1,4.0,Achieved,Q2 2024,Jan,2024,10521,18801,37945120,44754913,USAID,World Vision,514855
344,UG-2024-1004,Western,Mbarara,Secondary,Health,% HH with Improved Water,Outcome,Health,Borehole,No,39.5,65.8,73.0,111.1,7.3,Achieved,Q1 2024,Jan,2024,2639,18422,185298794,83676520,USAID,IRC,1515345
345,UG-2024-1005,Western,Kampala,Primary,Protection,% HH with Latrine,Output,Protection,Borehole,No,31.0,51.7,30.4,58.7,-21.4,At Risk,Q1 2024,Jan,2024,7985,11868,194623141,108712957,UNHCR,IRC,1016256
346,UG-2024-1006,Northern,Kampala,None,Health,% Children Immunized,Output,Health,Borehole,No,32.1,53.5,60.3,112.9,6.9,Achieved,Q1 2024,Jan,2024,656,16126,133842440,137690886,USAID,World Vision,1936854
347,UG-2024-1007,Northern,Gulu,None,Food Security,% Children Immunized,Output,Food Security,Borehole,No,43.0,71.7,42.9,59.9,-28.8,At Risk,Q2 2024,Jan,2024,10475,9424,20243103,52948756,UNHCR,DRC,1156094
348,UG-2024-1008,Eastern,Gulu,None,Livelihood,% HH with Latrine,Output,Livelihood,Borehole,No,44.3,73.9,74.8,101.3,0.9,Achieved,Q1 2024,Jan,2024,14787,3638,135782674,113861441,USAID,World Vision,1264774
349,UG-2024-1009,Central,Mbarara,None,Protection,% HH with Improved Water,Outcome,Protection,Borehole,No,37.0,61.7,40.4,65.6,-21.2,At Risk,Q1 2024,Jan,2024,7183,9342,167506451,90963845,UNHCR,World Vision,1826303
350,UG-2024-1010,Eastern,Mbarara,Primary,Food Security,% Children Immunized,Output,Food Security,Borehole,No,54.4,90.6,71.4,78.8,-19.2,At Risk,Q1 2024,Jan,2024,8561,3669,130365876,64061830,EU,World Vision,1852458
351,UG-2024-1011,Western,Gulu,Secondary,WASH,% Children Immunized,Outcome,WASH,Borehole,No,47.2,78.6,68.5,87.1,-10.1,On Track,Q2 2024,Jan,2024,15605,18693,46205960,102195385,UNHCR,World Vision,1469436
352,UG-2024-1012,Northern,Mbarara,Secondary,Protection,% HH with Latrine,Output,Protection,Borehole,No,54.8,91.3,104.8,114.8,13.5,Achieved,Q2 2024,Jan,2024,18006,2183,133185107,139263138,UNHCR,World Vision,1177701
353,UG-2024-1013,Eastern,Mbarara,None,Protection,% Children Immunized,Outcome,Protection,Borehole,No,37.6,62.7,39.1,62.4,-23.5,At Risk,Q2 2024,Jan,2024,17227,1853,24548770,148649118,UNHCR,IRC,1754872
354,UG-2024-1014,Central,Gulu,Primary,WASH,% Children Immunized,Outcome,WASH,Borehole,No,46.6,77.6,91.0,117.3,13.4,Achieved,Q2 2024,Jan,2024,15281,928,36220511,99744419,USAID,World Vision,325976
355,UG-2024-1015,Western,Gulu,None,Livelihood,% HH with Improved Water,Output,Livelihood,Borehole,No,52.3,87.1,78.5,90.1,-8.7,On Track,Q2 2024,Jan,2024,15509,8543,148394615,48073436,USAID,IRC,1747777
356,UG-2024-1016,Northern,Mbarara,Primary,WASH,% HH with Latrine,Output,WASH,Borehole,No,47.8,79.7,55.8,70.0,-23.9,At Risk,Q1 2024,Jan,2024,8016,4841,46183124,75537656,USAID,DRC,860396
357,UG-2024-1017,Central,Mbarara,None,Health,% HH with Latrine,Output,Health,Borehole,No,38.0,63.4,67.6,106.6,4.2,Achieved,Q1 2024,Jan,2024,17752,16745,43353910,22148968,EU,World Vision,1656984
358,UG-2024-1018,Northern,Kampala,Secondary,Health,% HH with Latrine,Output,Health,Borehole,No,52.6,87.7,72.1,82.2,-15.6,On Track,Q2 2024,Jan,2024,7048,11232,98475689,17370286,USAID,World Vision,1562312
359,UG-2024-1019,Western,Mbarara,None,WASH,% HH with Improved Water,Output,WASH,Borehole,No,50.1,83.5,48.5,58.1,-35.0,At Risk,Q1 2024,Jan,2024,15603,7288,116726851,73601883,USAID,World Vision,127329
