ID,Region,District,Health_Facility,Facility_Level,Disease,ICD10_Code,Age_Group,Gender,Cases_Reported,Deaths,Yield,Education,Water_Source,Irrigation,Crop,Reporting_Week,Reporting_Year,Month,Village_Cases,Stockout_Days,Income_UGX
340,Eastern,Tororo,Tororo HC IV,HC III,Malnutrition,J18,0-5,Male,78,1,78,Primary,Borehole,No,N/A,29,2024,Mar,14,11,113120
341,Eastern,Mbale,Mbale HC III,HC III,Diabetes,J18,0-5,Male,112,2,112,Primary,Borehole,No,N/A,52,2024,Jan,18,10,704713
342,Central,Wakiso,Wakiso HC IV,HC IV,HIV/AIDS,J18,20-35,Female,106,2,106,None,Tap,No,N/A,1,2024,Jan,34,5,413321
343,Central,Wakiso,Wakiso HC III,HC III,Anemia,J18,20-35,Male,227,4,227,Primary,Tap,No,N/A,23,2024,Jan,16,11,417931
344,Eastern,Mbale,Mbale District Hospital,HC II,Diabetes,J18,6-12,Male,33,0,33,None,Borehole,No,N/A,34,2024,Mar,16,0,598926
345,Western,Kabale,Kabale HC III,HC II,Malaria,B54,0-5,Female,244,4,244,Secondary,Tap,No,N/A,6,2024,Feb,15,7,205164
346,Eastern,Mbale,Mbale HC IV,HC III,Anemia,J18,60+,Female,22,0,22,Primary,Borehole,No,N/A,14,2024,Mar,22,3,492883
347,Central,Wakiso,Wakiso HC III,HC IV,HIV/AIDS,J18,0-5,Male,39,0,39,None,Borehole,No,N/A,33,2024,Jan,9,0,689625
348,Northern,Lira,Lira District Hospital,HC III,Pneumonia,J18,6-12,Male,69,1,69,Secondary,Tap,No,N/A,7,2024,Jan,28,10,118153
349,Western,Mbarara,Mbarara HC III,HC II,Diabetes,J18,20-35,Female,193,3,193,Primary,Tap,No,N/A,49,2024,Feb,7,11,95082
350,Central,Wakiso,Wakiso District Hospital,HC III,Malaria,B54,60+,Female,193,3,193,Primary,Tap,No,N/A,15,2024,Jan,29,3,1421
351,Eastern,Mbale,Mbale District Hospital,HC III,Anemia,J18,6-12,Male,229,4,229,Primary,Borehole,No,N/A,14,2024,Jan,12,8,753220
352,Central,Kampala,Kampala District Hospital,HC III,Anemia,J18,60+,Female,239,4,239,None,Tap,No,N/A,28,2024,Feb,7,3,144350
353,Northern,Gulu,Gulu District Hospital,HC II,Hypertension,J18,6-12,Male,10,0,10,None,Borehole,No,N/A,14,2024,Mar,46,9,608857
354,Western,Fort Portal,Fort Portal District Hospital,HC II,HIV/AIDS,J18,20-35,Female,90,1,90,Primary,Tap,No,N/A,40,2024,Jan,47,13,362215
355,Central,Kampala,Kampala HC III,HC IV,HIV/AIDS,J18,20-35,Male,104,2,104,None,Tap,No,N/A,10,2024,Mar,41,14,173878
356,Eastern,Mbale,Mbale HC III,HC II,TB,J18,6-12,Female,210,4,210,None,Tap,No,N/A,14,2024,Feb,46,14,330930
357,Northern,Lira,Lira HC IV,HC III,Diarrhea,J18,6-12,Female,23,0,23,Primary,Borehole,No,N/A,7,2024,Mar,10,4,92138
358,Central,Wakiso,Wakiso HC IV,HC II,TB,J18,6-12,Male,200,4,200,Secondary,Tap,No,N/A,26,2024,Mar,31,1,445486
359,Eastern,Mbale,Mbale HC IV,HC II,TB,J18,60+,Male,198,3,198,None,Borehole,No,N/A,33,2024,Jan,25,10,75426
360,Northern,Gulu,Gulu HC IV,HC IV,Malnutrition,J18,6-12,Male,60,1,60,None,Borehole,No,N/A,47,2024,Feb,46,11,650488
361,Eastern,Jinja,Jinja HC IV,HC III,Diarrhea,J18,6-12,Male,75,1,75,None,Borehole,No,N/A,1,2024,Feb,43,9,429434
362,Northern,Lira,Lira HC IV,HC II,Anemia,J18,20-35,Female,43,0,43,Secondary,Tap,No,N/A,23,2024,Feb,2,8,285193
363,Northern,Lira,Lira HC IV,HC II,Malnutrition,J18,0-5,Male,53,1,53,Primary,Borehole,No,N/A,26,2024,Jan,38,10,229
364,Eastern,Tororo,Tororo HC III,HC II,Anemia,J18,60+,Female,88,1,88,None,Borehole,No,N/A,35,2024,Jan,18,10,508117
365,Northern,Gulu,Gulu HC III,HC IV,TB,J18,60+,Male,65,1,65,None,Tap,No,N/A,1,2024,Jan,4,6,579740
366,Northern,Gulu,Gulu HC IV,HC II,HIV/AIDS,J18,0-5,Female,128,2,128,Primary,Borehole,No,N/A,14,2024,Feb,42,14,181621
367,Central,Mukono,Mukono HC IV,HC II,Malaria,B54,60+,Male,89,1,89,None,Tap,No,N/A,7,2024,Mar,19,8,696132
368,Northern,Arua,Arua HC IV,HC III,TB,J18,60+,Male,100,2,100,None,Tap,No,N/A,23,2024,Feb,13,11,83850
369,Western,Mbarara,Mbarara HC IV,HC IV,Maternal Complications,J18,0-5,Male,127,2,127,Secondary,Borehole,No,N/A,39,2024,Mar,5,0,157489
370,Northern,Gulu,Gulu HC III,HC II,TB,J18,0-5,Female,65,1,65,Primary,Tap,No,N/A,43,2024,Feb,13,1,611749
371,Central,Mukono,Mukono HC IV,HC II,Diabetes,J18,20-35,Male,232,4,232,Primary,Tap,No,N/A,21,2024,Jan,44,5,560357
372,Western,Kabale,Kabale District Hospital,HC III,Malaria,B54,6-12,Female,130,2,130,None,Tap,No,N/A,16,2024,Mar,10,7,256608
373,Eastern,Jinja,Jinja District Hospital,HC III,Diabetes,J18,6-12,Male,121,2,121,Primary,Borehole,No,N/A,44,2024,Mar,4,9,213877
374,Central,Mukono,Mukono HC III,HC II,Malaria,B54,20-35,Female,151,3,151,Primary,Borehole,No,N/A,31,2024,Feb,15,7,597160
375,Western,Kabale,Kabale HC III,HC III,Anemia,J18,20-35,Male,137,2,137,None,Tap,No,N/A,33,2024,Jan,16,13,181815
376,Western,Kabale,Kabale District Hospital,HC III,HIV/AIDS,J18,20-35,Female,81,1,81,Secondary,Tap,No,N/A,48,2024,Jan,48,9,488961
377,Northern,Gulu,Gulu HC IV,HC IV,Malnutrition,J18,0-5,Male,207,4,207,Secondary,Borehole,No,N/A,7,2024,Mar,27,9,291025
378,Northern,Gulu,Gulu HC IV,HC III,Pneumonia,J18,6-12,Female,92,1,92,Secondary,Borehole,No,N/A,39,2024,Jan,9,7,715074
379,Western,Fort Portal,Fort Portal HC IV,HC III,Diabetes,J18,60+,Male,129,2,129,Secondary,Borehole,No,N/A,6,2024,Feb,20,5,774353
380,Central,Mukono,Mukono HC IV,HC II,Diarrhea,J18,20-35,Male,235,4,235,Secondary,Tap,No,N/A,10,2024,Jan,35,13,559712
381,Central,Wakiso,Wakiso District Hospital,HC III,Pneumonia,J18,0-5,Male,145,2,145,None,Borehole,No,N/A,32,2024,Jan,12,5,561540
382,Central,Mukono,Mukono District Hospital,HC III,Hypertension,J18,0-5,Female,89,1,89,Secondary,Borehole,No,N/A,9,2024,Jan,16,1,176865
