ID,Region,Sub_Region,District,Education,Crop,Yield,Water_Source,Irrigation,Area_Planted_Ha,Production_MT,Crop_Purpose,Fertilizer_Use,Improved_Seed,Gender_HH_Head,Farm_Size_Acres,Income_UGX
340,Eastern,Busoga,Iganga,Primary,Cassava,1.57,River,No,4.42,6.94,Own consumption only,Yes,No,Male,10.9,1389911
341,Eastern,Elgon,Kapchorwa,Secondary,Sorghum,0.69,River,No,3.65,2.52,Own consumption only,Yes,No,Male,9.0,1139436
342,Eastern,Teso,Soroti,None,Coffee,3.92,Borehole,Yes,0.32,1.25,Own consumption only,Yes,Yes,Male,0.8,2736644
343,Northern,Karamoja,Kotido,Primary,Rice,6.85,Rain,No,0.54,3.7,Mainly own with some sale,No,No,Male,1.3,2819995
344,Western,Tooro,Fort Portal,Primary,Groundnuts,1.5,River,No,4.62,6.93,Mainly own with some sale,No,No,Male,11.4,2245505
345,Western,Kigezi,Rukungiri,Primary,Groundnuts,3.03,River,No,2.58,7.82,Own consumption only,No,No,Female,6.4,1222876
346,Western,Ankole,Mbarara,Primary,Sweet Potatoes,4.35,Rain,No,3.06,13.31,Own consumption only,Yes,Yes,Male,7.6,1654384
347,Eastern,Teso,Soroti,Secondary,Coffee,0.4,Borehole,No,1.76,0.7,Own consumption only,No,Yes,Male,4.3,1993400
348,Eastern,Elgon,Mbale,Primary,Groundnuts,0.96,Rain,No,2.58,2.48,Mainly own with some sale,No,Yes,Male,6.4,641234
349,Eastern,Bukedi,Tororo,Primary,Cassava,6.16,Borehole,No,5.35,32.96,Own consumption only,No,No,Male,13.2,2500770
350,Eastern,Busoga,Iganga,University,Cassava,4.19,Borehole,No,2.72,11.4,Own consumption only,Yes,No,Female,6.7,1149238
351,Northern,Lango,Apac,Secondary,Sweet Potatoes,6.38,Rain,No,3.88,24.75,Mainly own with some sale,No,No,Male,9.6,2159021
352,Northern,Lango,Lira,Primary,Maize,1.14,Rain,No,1.92,2.19,Mainly own with some sale,Yes,No,Male,4.7,552690
353,Eastern,Busoga,Iganga,Primary,Coffee,3.99,River,No,1.07,4.27,Own consumption only,Yes,No,Male,2.6,2232263
354,Northern,Karamoja,Kotido,University,Cassava,0.75,River,No,2.34,1.75,Own consumption only,Yes,No,Male,5.8,963168
355,Western,Ankole,Mbarara,Primary,Maize,0.66,Borehole,No,2.86,1.89,Own consumption only,No,No,Female,7.1,1269043
356,Eastern,Busoga,Jinja,Secondary,Millet,1.94,River,No,4.24,8.23,Own consumption only,Yes,No,Female,10.5,1554104
357,Eastern,Teso,Soroti,Primary,Matooke,5.1,Borehole,No,2.89,14.74,Own consumption only,Yes,No,Male,7.1,2461987
358,Northern,Karamoja,Kotido,Secondary,Sweet Potatoes,2.97,Rain,No,3.86,11.46,Own consumption only,No,No,Male,9.5,795263
359,Western,Kigezi,Kabale,Primary,Millet,3.86,Rain,Yes,5.41,20.88,Own consumption only,Yes,Yes,Male,13.4,1738015
