ID,Case_ID,Region,Settlement,District,Country_Origin,Arrival_Year,Years_In_Uganda,Gender_HH_Head,Age_HH_Head,Education,Household_Size,Children_U18,Vulnerability,Water_Source,Irrigation,Crop,Yield,Assistance_Type,Protection_Concern,Income_UGX_Month
340,UNHCR-UG-10000,Mid West,Kiryandongo,Arua,Eritrea,2018,8,Female,35,University,10,1,Woman at Risk,Tap,No,Beans,1.46,Food,Food Insecurity,232857
341,UNHCR-UG-10001,Central,Kampala Urban,Arua,Ethiopia,2020,10,Female,22,Primary,8,3,Elderly,Borehole,Yes,Cassava,1.91,Food,GBV Risk,285872
342,UNHCR-UG-10002,Central,Kampala Urban,Arua,DRC,2019,6,Female,51,Primary,7,3,Elderly,Tap,No,Maize,2.7,Cash,None,119627
343,UNHCR-UG-10003,Mid West,Kiryandongo,Arua,Somalia,2022,8,Female,33,University,5,3,Elderly,Borehole,No,None,2.42,NFI,Food Insecurity,181377
344,UNHCR-UG-10004,Central,Kampala Urban,Arua,Somalia,2021,3,Male,68,None,9,1,Single Parent,River,Yes,Beans,1.06,Cash,GBV Risk,488752
345,UNHCR-UG-10005,West Nile,Lobule,Arua,DRC,2022,7,Male,29,Primary,10,1,Elderly,Borehole,No,Beans,0.38,NFI,Food Insecurity,60281
346,UNHCR-UG-10006,Mid West,Kiryandongo,Arua,Rwanda,2022,4,Male,64,Secondary,4,4,Disability,Tap,Yes,Maize,1.15,Cash,Child Protection,135214
347,UNHCR-UG-10007,Central,Kampala Urban,Arua,Burundi,2024,1,Male,67,None,4,1,Disability,Borehole,No,None,1.44,NFI,None,205123
348,UNHCR-UG-10008,West Nile,Lobule,Arua,Sudan,2022,2,Female,31,None,5,4,Woman at Risk,Borehole,Yes,Maize,2.69,NFI,Food Insecurity,383034
349,UNHCR-UG-10009,South West,Nakivale,Arua,Ethiopia,2022,9,Female,24,None,8,2,Single Parent,Borehole,Yes,Cassava,2.88,WASH,GBV Risk,296364
350,UNHCR-UG-10010,Central,Kampala Urban,Arua,DRC,2023,1,Female,74,University,2,3,Unaccompanied Child,Borehole,No,Beans,0.11,NFI,Child Protection,292654
351,UNHCR-UG-10011,South West,Kyaka II,Arua,Burundi,2018,4,Male,27,Primary,4,3,Elderly,Borehole,No,Vegetables,1.44,Cash,Child Protection,250298
352,UNHCR-UG-10012,Central,Kampala Urban,Arua,Sudan,2025,1,Female,77,University,4,3,Woman at Risk,Borehole,Yes,None,0.19,Food,None,27196
